 ,Label,Area,Mean,Min,Max
188,D66 RB 0.jpg,228,16.5882,-22.9842,43.2391
189,D66 RB 0.jpg,208,18.1355,-22.6646,60.6497
190,D66 RB 0.jpg,523,15.9394,-35.3273,61.3176
191,D66 RB 0.jpg,511,4.9376,-34.4485,56.5039
192,D66 RB 0.jpg,505,5.8855,-41.8268,53.3237
193,D66 RB 0.jpg,356,16.6250,-32.0131,56.8630
194,D66 RB 0.jpg,483,17.2385,-49.8342,70.7741
195,D66 RB 0.jpg,197,7.8625,-52.9659,58.2065
196,D66 RB 0.jpg,532,16.9318,-41.4934,57.1884
197,D66 RB 0.jpg,408,13.0628,-32.0001,63.5943
198,D66 RB 0.jpg,567,14.2640,-49.5066,73.4376
199,D66 RB 0.jpg,377,15.0567,-33.2327,60.2762
200,D66 RB 0.jpg,213,23.4409,-13.7055,58.7270
201,D66 RB 0.jpg,376,18.1207,-32.9864,47.7459
202,D66 RB 0.jpg,666,1.6853,-51.0828,51.1668
203,D66 RB 0.jpg,740,9.2990,-54.9259,59.9947
204,D66 RB 0.jpg,691,18.1449,-42.6927,62.0509
205,D66 RB 0.jpg,435,19.6671,-35.1589,63.8992
206,D66 RB 0.jpg,284,23.1798,-28.7518,58.7622
207,D66 RB 0.jpg,255,24.1569,-39.6688,63.5531
208,D66 RB 0.jpg,365,4.6897,-44.0103,56.1907
209,D66 RB 0.jpg,542,12.5918,-36.4646,63.2058
210,D66 RB 0.jpg,309,17.8769,-51.2544,60.1052
211,D66 RB 0.jpg,462,20.0006,-33.2471,68.9761
212,D66 RB 0.jpg,263,23.8430,-38.0653,63.1167
213,D66 RB 0.jpg,685,14.8785,-56.9991,65.0446
214,D66 RB 0.jpg,430,14.0539,-41.7795,57.8402
215,D66 RB 0.jpg,522,19.7821,-43.8142,60.7955
216,D66 RB 0.jpg,807,12.2214,-54.2685,76.0944
217,D66 RB 0.jpg,382,12.3010,-37.7831,68.0063
218,D66 RB 0.jpg,425,14.1326,-56.5845,69.7859
219,D66 RB 0.jpg,407,-1.6650,-53.4769,56.6094
220,D66 RB 0.jpg,384,6.1123,-43.6028,50.2355
221,D66 RB 0.jpg,324,15.2487,-41.3411,70.8786
222,D66 RB 0.jpg,458,18.8143,-47.7184,62.8130
223,D66 RB 0.jpg,335,15.1151,-43.5886,62.1106
224,D66 RB 0.jpg,238,5.4243,-29.4908,51.3965
225,D66 RB 0.jpg,623,15.9117,-45.8343,71.0958
226,D66 RB 0.jpg,234,-5.2694,-42.1518,21.1149
227,D66 RB 0.jpg,486,15.4528,-50.0305,56.5915
228,D66 RB 0.jpg,545,13.6308,-57.4735,57.4886
229,D66 RB 0.jpg,488,13.3998,-53.6919,59.1790
230,D66 RB 0.jpg,381,20.1558,-49.5538,68.4571
231,D66 RB 0.jpg,408,17.0869,-32.7471,54.9865
232,D66 RB 0.jpg,380,12.8829,-37.4930,60.4122
233,D66 RB 0.jpg,374,18.9846,-55.2626,66.0096
234,D66 RB 0.jpg,490,15.5402,-47.2749,58.8249
235,D66 RB 0.jpg,473,16.8376,-41.8949,57.9647
236,D66 RB 0.jpg,534,21.8748,-55.2243,56.4995
237,D66 RB 0.jpg,433,16.1483,-37.9303,59.9015
238,D66 RB 0.jpg,401,15.7404,-42.1906,57.6258
239,D66 RB 0.jpg,474,16.0973,-36.6570,67.7198
240,D66 RB 0.jpg,673,13.7211,-51.4535,60.8627
241,D66 RB 0.jpg,844,16.8566,-40.5841,66.5240
242,D66 RB 0.jpg,279,21.5479,-41.6763,63.5360
243,D66 RB 0.jpg,317,7.6689,-27.4933,53.6456
244,D66 RB 0.jpg,310,24.1623,-23.4635,64.3607
245,D66 RB 0.jpg,416,3.5107,-35.4981,46.8655
246,D66 RB 0.jpg,260,24.8827,-34.4694,60.5258
247,D66 RB 0.jpg,15,-1.1144,-38.0195,31.0664
248,D66 RB 0.jpg,317,14.2398,-22.5532,65.1914
249,D66 RB 0.jpg,336,15.4360,-46.0850,66.1872
