 ,Label,Area,Mean,Min,Max
193,D66 RB 0.jpg,554,16.3237,-41.4934,57.1884
194,D66 RB 0.jpg,423,12.4463,-32.0001,63.5943
195,D66 RB 0.jpg,586,14.1448,-49.5066,73.4376
196,D66 RB 0.jpg,381,14.9914,-33.2327,60.2762
197,D66 RB 0.jpg,394,17.2850,-32.9864,47.7459
198,D66 RB 0.jpg,222,24.0129,-13.7055,58.7270
199,D66 RB 0.jpg,687,1.9086,-51.0828,51.1668
200,D66 RB 0.jpg,762,9.3102,-54.9259,59.9947
201,D66 RB 0.jpg,720,18.2264,-42.6927,62.0509
202,D66 RB 0.jpg,454,19.3195,-35.1589,63.8992
203,D66 RB 0.jpg,298,23.8120,-28.7518,58.7622
204,D66 RB 0.jpg,260,24.1109,-39.6688,63.5531
205,D66 RB 0.jpg,377,4.3882,-44.0103,56.1907
206,D66 RB 0.jpg,555,12.2920,-36.4646,63.2058
207,D66 RB 0.jpg,332,19.1209,-51.2544,60.2691
208,D66 RB 0.jpg,472,19.5538,-33.2471,68.9761
209,D66 RB 0.jpg,279,24.2797,-38.0653,63.1167
210,D66 RB 0.jpg,717,15.2214,-56.9991,65.0446
211,D66 RB 0.jpg,441,13.7008,-41.7795,57.8402
212,D66 RB 0.jpg,544,19.3544,-43.8142,60.7955
213,D66 RB 0.jpg,841,12.2575,-54.2685,76.0944
214,D66 RB 0.jpg,394,11.9464,-37.7831,68.0063
215,D66 RB 0.jpg,435,13.8848,-56.5845,69.7859
216,D66 RB 0.jpg,429,-1.1889,-53.4769,56.6094
217,D66 RB 0.jpg,393,5.9693,-43.6028,50.2355
218,D66 RB 0.jpg,342,14.4439,-41.3411,70.8786
219,D66 RB 0.jpg,484,17.9010,-47.7184,62.8130
220,D66 RB 0.jpg,347,16.1972,-43.5886,67.8910
221,D66 RB 0.jpg,246,6.9290,-29.4908,51.3965
222,D66 RB 0.jpg,653,16.7481,-45.8343,73.8514
223,D66 RB 0.jpg,240,-5.4350,-42.1518,21.1149
224,D66 RB 0.jpg,494,15.3180,-50.0305,56.5915
225,D66 RB 0.jpg,576,12.9837,-57.4735,57.4886
226,D66 RB 0.jpg,510,12.8146,-53.6919,59.1790
227,D66 RB 0.jpg,387,19.6926,-49.5538,68.4571
228,D66 RB 0.jpg,416,16.8647,-32.7471,54.9865
229,D66 RB 0.jpg,389,12.4169,-37.4930,60.4122
230,D66 RB 0.jpg,384,18.7685,-55.2626,66.0096
231,D66 RB 0.jpg,509,14.9610,-47.2749,58.8249
232,D66 RB 0.jpg,491,16.1757,-41.8949,57.9647
233,D66 RB 0.jpg,438,15.9820,-37.9303,59.9015
234,D66 RB 0.jpg,543,21.6189,-55.2243,56.4995
235,D66 RB 0.jpg,405,15.6427,-42.1906,57.6258
236,D66 RB 0.jpg,482,15.8461,-36.6570,67.7198
237,D66 RB 0.jpg,692,13.4290,-51.4535,60.8627
238,D66 RB 0.jpg,873,16.5492,-40.5841,66.5240
239,D66 RB 0.jpg,286,21.0689,-41.6763,63.5360
